Time,Ctrl,QPos,QVel
0.04200000000000002,"-1.58344873,-2.0943951023931953,0.1479546191323342,-1.7201828735499067,-1.57268012,0.00907312","-1.586251120447667,-2.3064683849185594,2.709412475212189,-2.0748761718692545,-1.5726908860283912,0.009061027934753751","0.015661389769492162,-2.0753643966960893,0.1538310569834213,-0.7645297705864996,-9.007542194238675e-05,0.00013083086496781235"
0.044000000000000025,"-1.58344873,-2.0943951023931953,0.1614574700374165,-1.688018899185557,-1.57268012,0.00907312","-1.5862149480092715,-2.3106293006333094,2.709761872448448,-2.076493077114373,-1.5726909839572762,0.00906128255980953","0.018086219197703944,-2.0804578573749963,0.1746986181293725,-0.8084526225591455,-4.896444249317764e-05,0.00012731252789017057"
0.04600000000000003,"-1.58344873,-2.0943951023931953,0.17453712800052834,-1.668897506588518,-1.57268012,0.00907312","-1.5861748546315515,-2.3147980129121173,2.7101489264934897,-2.0781965334322083,-1.572691020932271,0.00906153064242646","0.020046688859967386,-2.08435613940394,0.1935270225208875,-0.8517281589178619,-1.848749740320122e-05,0.00012404130846441856"
0.04800000000000003,"-1.58344873,-2.0943951023931953,0.18981439320565974,-1.6412455929010352,-1.57268012,0.00907312","-1.586131720079314,-2.318972783668836,2.7105704723711184,-2.0799854372859605,-1.572691003599887,0.009061772031518736","0.021567276118774934,-2.08738537835945,0.21077293881426748,-0.8944519268760108,8.66619205377014e-06,0.0001206945461388847"
0.05000000000000003,"-1.58344873,-2.0943951023931953,0.20147841460182647,-1.6034814276891152,-1.57268012,0.00907312","-1.5860864492437372,-2.3231524253362865,2.7110254044910604,-2.0818592198868915,-1.57269093357136,0.009062006584154333","0.02263541778836063,-2.08982083372517,0.22746605997111813,-0.9368913004655782,3.501426346996408e-05,0.00011727631779886544"
0.05200000000000003,"-1.58344873,-2.0943951023931953,0.22752313137739266,-1.5020868330886903,-1.57268012,0.00907312","-1.5860395601169073,-2.3273359093727977,2.7115109569817992,-2.0838168744454535,-1.5726908292383899,0.009062232558155484","0.023444563414915638,-2.0917420182554882,0.24277624536934914,-0.978827279281078,5.216648503561504e-05,0.00011298700057462231"
0.054000000000000034,"-1.58344873,-2.0943951023931953,0.26590261163679685,-1.1218901067689653,-1.57268012,0.00907312","-1.5859922613028992,-2.3315229965937063,2.71203289911663,-2.0858596573577373,-1.5726906650852215,0.009062450732639381","0.023649407004023747,-2.093543610454266,0.26097106741522086,-1.0213914561418937,8.207658414767476e-05,0.00010908724194850846"
0.056000000000000036,"-1.58344873,-2.0943951023931953,0.2868862404320196,-0.016661068674671764,-1.57268012,0.00907312","-1.5859457978764135,-2.33571376281659,2.712602020126629,-2.0879902816853497,-1.5726904374974324,0.009062664784229565","0.023231713242848215,-2.095383111441789,0.28456050499961044,-1.0653121638062568,0.00011379389457600447,0.00010702579509222046"
0.05800000000000004,"-1.58344873,-2.0943951023931953,-0.3558764271559314,-0.9921685495625603,-1.57268012,0.00907312","-1.585902728332643,-2.339913199637447,2.7131947480172847,-2.090023259086837,-1.5726900582823566,0.009062802436409808","0.021534771885315995,-2.0997184104286615,0.2963639453277329,-1.0164887007435288,0.00018960753794567786,6.882609012105245e-05"
0.06000000000000004,"-1.58344873,-2.0943951023931953,0.23676072173725293,-1.6037928302831403,-1.57268012,0.00907312","-1.5858445070318858,-2.344105985993111,2.713658606577462,-2.0919602312184002,-1.5726904831485065,0.00906309605230551","0.029110650378571495,-2.0963931778318914,0.23192928008866728,-0.9684860657815972,-0.00021243307491192442,0.00014680794785141866"
