Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
-1.5645039461454326,-2.236360217696832,2.7301928887103006,-2.067808886458561,-1.5669632048359667,0.004274196133367981
-1.5627250258041314,-2.2355930280380947,2.7317986828086687,-2.0696634184500446,-1.5660542094613281,0.004187159431678118
-1.5615979204579293,-2.235311670928366,2.733670064096691,-2.071703753455796,-1.5653145001962745,0.004102019144224948
-1.5611219296040098,-2.235532832865736,2.735783441859349,-2.073920851815788,-1.5647467209952688,0.0040187067028978046
-1.5608549465069286,-2.2359303573352247,2.737954440526679,-2.076301877501694,-1.5643692054093412,0.00393791714763425
-1.5603439280261044,-2.236248288177423,2.7400454452399274,-2.0788449816376424,-1.56392812144129,0.003858762226042961
-1.5593332631259593,-2.236340509434578,2.7419787066125263,-2.0815493838053607,-1.563339767402034,0.003781667554170246
-1.557756501741331,-2.2361405200505433,2.743740296989381,-2.0844170709833123,-1.5626057347955122,0.0037063771703749323
-1.5556078575056702,-2.235614336651797,2.7453283775021657,-2.0874497474467733,-1.5617280803067612,0.003632735036973368
-1.5532304672526387,-2.23503766017915,2.746803342264472,-2.090629229090337,-1.5607600452689103,0.0035616666555380186
-1.5509665814135343,-2.2346097532394547,2.748259154165046,-2.0939473953515004,-1.5599124955578594,0.0034914312212073785
-1.5490106589796613,-2.234448082455185,2.749739187827354,-2.0973987240249734,-1.5592295178261366,0.0034222340746506226
-1.5474660099696869,-2.23461544529298,2.7512717146435555,-2.1009788404171834,-1.558717504648252,0.003353929615678534
-1.5463850968273252,-2.2351460582986453,2.7528695758328023,-2.104685694206357,-1.5583764120724195,0.003286588733412352
-1.5457919504802586,-2.2360568991530325,2.7545392624541845,-2.108517497346639,-1.5582049299988971,0.0032202453236388233
-1.5456945420238466,-2.2373551340032045,2.756283314678058,-2.1124726566903496,-1.5582005293547478,0.0031550221638569423
-1.5458492310129666,-2.2388790226145265,2.758048074642567,-2.1165533400986036,-1.5582370532079957,0.0030917180259636395
-1.5461154487966033,-2.240532139082076,2.7598016360185698,-2.1207622213260335,-1.558280807331888,0.0030302408844548965
-1.5464167270610696,-2.242255586704429,2.761530493426732,-2.1250993749598863,-1.5583259841275914,0.002970079535028004
-1.5467131477084937,-2.2440141746483855,2.763227078152042,-2.129565173739493,-1.5583722243371483,0.0029112336492468412
-1.5469838323160885,-2.2457858488031466,2.764888379609948,-2.1341596969734007,-1.558418378985635,0.0028537460438520295
-1.547148361258405,-2.2475481521778318,2.766459308643029,-2.138870688370503,-1.5584519065212634,0.0027972896088497546
-1.5471635909664683,-2.249294509560617,2.767916086097651,-2.1436923764655647,-1.5584679403815078,0.002742269043026533
-1.5470080619869941,-2.2510246995327865,2.7692578067645726,-2.148623914663857,-1.5584657145919179,0.0026885941357921985
-1.5466703523498648,-2.252740879758823,2.7704838317861533,-2.1536646442003358,-1.5584452864656744,0.0026361668678477365
-1.5461449077896643,-2.254445822728854,2.771594136033229,-2.1588138394553913,-1.5584068083343579,0.002584909032570152
-1.5454712258741115,-2.256162111186861,2.7725929862854626,-2.164069129170938,-1.558356936899387,0.002534656968013779
-1.5446726999107776,-2.257902955467187,2.7734827468190795,-2.169429001816679,-1.5582977602389492,0.002485404337727835
-1.5437633346308506,-2.259675815488997,2.7742651074007862,-2.174892280201631,-1.5582300713678718,0.002437140950166076
-1.5427519030394568,-2.2614848529834592,2.774941007411383,-2.1804585051167455,-1.5581544741620814,0.0023894601145760513
-1.5416441119265445,-2.2633320126740606,2.775512070932985,-2.1861258719201953,-1.5580726600160952,0.0023421355154012937
-1.5404252952816713,-2.265173461857691,2.7760464946501218,-2.191927091093531,-1.5579898609527076,0.002295302902185061
-1.5391009935082471,-2.266983710708,2.7767068543814535,-2.1979114842008687,-1.55790834740139,0.002249450409070596
-1.5376682378766042,-2.2687422633914878,2.777571921458387,-2.204110339339074,-1.5578289961855118,0.0022045314628583415
-1.5361172798196625,-2.270429696986041,2.778637995094439,-2.210528127443542,-1.5577538498290495,0.002160470330928635
-1.534444091766484,-2.2720329283184375,2.779903486513068,-2.2171654966676684,-1.5576825201701983,0.002117314924055088
-1.5326688275294402,-2.273567555204137,2.781369914495047,-2.2240202865753815,-1.5576012853279657,0.002074993318836244
-1.5308027781609002,-2.2750434642639807,2.783037903996571,-2.2310907316321305,-1.557507939864929,0.002033485796261678
-1.5288529098276356,-2.2764672393013083,2.784907650360972,-2.2383753041645216,-1.5574029253822705,0.0019927880074671156
