Time,QPos,QVel,Ctrl
0.3020000000000002,"-1.6007064800346769,-2.242658545803469,2.7072917323724743,-2.065920434187025,-1.5753152347249566,2.62903665401189e-08,0.69730036139861,5.456218920004831e-05,0.6969861538572673,-0.6692765236558377,0.6972532741018481,0.00011883771725420788,0.6971946906480538,-0.66969300921326","0.03803536360399368,0.030143471634983463,-0.020625645909888097,-0.00550828887276438,0.010458046958342003,-4.860937773515285e-07,0.11209584897718178,0.05126787459704443,0.08628837428907143,-0.12366929877752503,0.12562064075222634,0.14162407557159845,0.029916151181394096,-0.0736395141507894","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.3120000000000002,"-1.6003325030826316,-2.242360288717632,2.7070895406006232,-2.0659747475700816,-1.5752118133262567,2.1627307114774183e-08,0.6982417045098886,-0.0006360217630354114,0.6975975786134675,-0.6699398441659302,0.6983663878191775,0.0002788933593106469,0.6972826187836731,-0.6700686954023065","0.036490252438620335,0.02935532069852736,-0.019618343902551075,-0.00531240878923097,0.01017873738192884,-4.207614832149985e-07,0.08780043997576895,0.019130939026378056,0.12486230689427091,-0.03375272078861394,0.08784137678859005,-0.040752038407118774,0.16973529045288338,-0.07168416962092883","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.32200000000000023,"-1.599973501208429,-2.242070038250931,2.7068971513028934,-2.06602707097558,-1.5751112189671754,1.753951151681621e-08,0.6991248713529205,-0.00011831415637678224,0.6989042996816711,-0.6711138936546003,0.6992201262739677,-2.607669735589697e-06,0.6987626262309503,-0.671168886592194","0.03503073656982458,0.02852121745673596,-0.018676468450026424,-0.005111664582320796,0.009890144581876845,-3.8302487336914087e-07,0.08526380698207472,0.10121190268565812,0.1465467673715145,-0.24041751397573907,0.07695874157882081,0.06891436033834748,0.15088693611515241,-0.1962048677908927","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.33200000000000024,"-1.599628945584442,-2.241788391443305,2.7067137528631826,-2.06607741969159,-1.575013457691179,1.3866728744604359e-08,0.7000100395173648,0.00047933020265849207,0.6995739262732584,-0.6721177603353944,0.7000457809589057,0.0003237891002427923,0.6995410809808947,-0.672098340010929","0.033605065307830244,0.0276239807588346,-0.017837498077337074,-0.004919880228363304,0.00961035871615322,-3.414480942554698e-07,0.09681222396432575,-0.1830146661444727,-0.07815737295791378,-0.035764833150829595,0.0888459826955501,-0.20002619686370224,-0.041751854103195665,-0.05517391623906329","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.34200000000000025,"-1.599298488717282,-2.2415157774602785,2.7065388390879956,-2.0661257933164996,-1.5749185974358113,1.0592024037937174e-08,0.7007533634418962,-8.671579156993128e-05,0.700215291129259,-0.6724362343510983,0.7007476380105074,-0.00012781648792641693,0.7002737352503369,-0.6725420631435851","0.03220653120122646,0.026708388961716213,-0.016981131025566157,-0.004716232606597891,0.009307163905959301,-3.0787615239742065e-07,0.06629494501551873,0.033529486765642005,0.1252426357293472,-0.1205419595771431,0.06568742863847522,0.0496773330158386,0.1264409856994563,-0.13253252883164623","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.35200000000000026,"-1.598981917098149,-2.2412524747947553,2.7063721275282373,-2.0661721841533707,-1.5748267064101746,7.65311072573284e-09,0.7014559333099866,0.0003027441924493729,0.7009863225180109,-0.673415962657554,0.701448214239788,0.00047863965866968194,0.7010210439416544,-0.6735005552720789","0.030841674246507324,0.025760689530684396,-0.016211836228590126,-0.004524128978722707,0.009009255385995505,-2.731912656384396e-07,0.05690060414609188,-0.020035016611353134,0.08099949885262217,-0.045872273374981815,0.05714479547549005,-0.034677536925593694,0.07718551158009924,-0.033320603217008735","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.36200000000000027,"-1.598678894406721,-2.240998702368104,2.7062129893949596,-2.066216656094147,-1.574737813922713,5.0413887724780964e-09,0.7020321291030687,-0.00017769212102263513,0.7014282755303154,-0.673704867182631,0.7020390471093649,-0.00011332751727757796,0.701424816401208,-0.673742233218591","0.02950859272662392,0.024808072793840442,-0.015457289326501073,-0.0043303672282553034,0.008709401445317266,-2.4280749142022066e-07,0.05392833105078091,0.030528933391044625,0.11592186240720656,-0.08427414214732329,0.05386955501253425,0.019671026265128677,0.11673810344986059,-0.08009169684323678","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.3720000000000003,"-1.5983889938188458,-2.2407544651702493,2.706061206373947,-2.0662592267996414,-1.5746519170742532,2.7197084324108937e-09,0.7026012642715438,-0.0006982249234377043,0.7024652658903431,-0.674772635042121,0.7026105362498108,-0.0009878869486078777,0.7023709053528662,-0.6744634252051447","0.02822012650648158,0.02385100162335477,-0.014762138526979707,-0.00414367854394732,0.008413114993560023,-2.1369005908130336e-07,0.053489963274839555,0.05616180277740958,0.05529128024285107,-0.03116066471081808,0.053476658690934334,0.033915006133202835,0.03920645457120785,0.029882731500680767","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.3820000000000003,"-1.5981117665139828,-2.2405197199729763,2.7059163997981837,-2.066299933105768,-1.5745689746345584,6.826767311970554e-10,0.703065455750924,0.00023411789503518962,0.7032127113716347,-0.6758519325979017,0.7030707321449755,-0.00027780719537333625,0.7029584796291147,-0.6749305438768988","0.026979731544628693,0.02290929364171347,-0.014065326886083246,-0.003961879931103691,0.008124084318042268,-1.91729408874624e-07,0.05133106121972023,0.024499402790591263,0.06585755057140913,-0.08354367725977714,0.04982365925653105,0.09786884590575401,0.09982675935587557,-0.17261782048242175","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
0.3920000000000003,"-1.5978466646219651,-2.24029435678737,2.7057781910318854,-2.0663388607621065,-1.5744889050906568,-1.1018083653754914e-09,0.7036598258958062,0.00091042185057594,0.7026164613543876,-0.6756084691615127,0.7036016309248088,-0.00014351990509209642,0.702912249869195,-0.6758798594048357","0.025811272528893054,0.021980441536107037,-0.013450271860518932,-0.0037894543695077333,0.007824830664643302,-1.5848074431843957e-07,0.02759924083957191,-0.02989940077466441,-0.049262622251470434,0.07509315871537382,0.019621966105617346,-0.06090274443743504,-0.05676886073419529,0.09717570652061545","-1.5707963705062866,-2.236440896987915,2.7310423851013184,-2.0626063346862793,-1.5707963705062866,0.0,225.0"
